缘	yun4
人	yan4
砬	laap6
甌	au1
类	leui6
褶	jip3
舝	hat6
噍	jiu6/jehw
渧	dai3
春	cheun1
綱	gong1
任	yam6
哜	chai6/jai6
忆	yik1
婵	sim4/sin4
飘	piu1
揮	fai1
义	yi6
跩	jai6
抔	pau4
蛘	yeung5
療	liu4
译	yik6
碪	cha4
鱉	bit3
构	gau3
逊	seun3
桅	wai4
徽	fai1
穷	kung4
蟷	dong1
獮	sin2
熛	biu1
析	sik1
氄	yung5
幕	mok6
枵	hiu1
忱	sam4
煜	yuk1
纯	seun4
瞩	juk1
儡	leui5
诣	ngai6
軝	kei4
體	tai2
姘	ping1
眇	miu5
向	heung3
惴	chyun3/zeoi3
价	ga3
皱	jau3
侏	jyu1
膾	kui2
颶	geui6
千	chin1/chin1
六	luk6
擐	gwaan3
睏	kwan3
強	keung4/keung5
害	hoi6
振	jan3
媧	wo1
唷	yo1
汾	fan4
拙	jyut3
侅	goi1
麃	biu1
不	bat1
破	po3
犛	lei4
枇	pei4
瀵	fan3
淫	yam4
醭	buk6/pok3
桂	gwai3
觳	huk6
噥	nung4
谪	jaak6
薖	gwo1
柷	juk1
匱	gwai6
艟	tung4
窈	yiu2
邀	yiu1
欃	chaam4
僊	sin1
濕	sap1
螅	sik1
埕	ching4
婿	sai3
櫺	ling4
唵	am2
楨	jing1
柽	ching1
顯	hin2
餡	haam5
宅	jaak6
閫	kwan2
謑	hai5
辅	fu6
唔	m4
守	sau2
夢	mung6
聖	sing3
讓	yeung6
謍	ying4
敺	keui1
往	wong5
佝	kau3
鬵	cham4
勁	ging6/ging3
厦	ha6
廌	jai6/ji6
魴	fong4
禡	ma6
剛	gong1
漲	jeung3/jeung2
袞	gwan2
嗝	gaak3
捨	se2
瑗	yun6
朔	sok3
迪	dik6
别	bit6/bit3
扫	sou3/sou2
悫	kok3
薽	jan1
擣	dou2
訊	seun3
鑢	leui3/leui6
阅	yut6
嗦	so1
倩	sin3
层	chang4
徙	saai2
氖	naai5
驂	chaam1
蜚	fei1/fei2
蔉	gwan2
誰	seui4
码	ma5
扰	yiu2
写	se2
番	faan1
餬	wu4
檣	cheung4
幗	gwok3
學	hok6
過	gwo3
組	jou2
髑	duk6
鲐	toi4
瀝	lik6
髳	mau4
町	ting2
咨	ji1
借	je3
扆	yi2
箝	kim4
忪	sung1/jung1
驏	chin5
氯	luk6
賠	pui4
輴	cheun1
烷	yun4
泮	pun3
涩	sap1/sap3
飑	paau1
绚	hyun3
莝	jo6
钦	yam1
鑽	jyun1
戬	jin2
陸	luk6
鹊	cheuk3
桿	gon2
殮	lim6
锒	long4
敢	gam2
洊	jin3
澤	jaak6
餈	chi4
牍	duk6
畜	chuk1
確	kok3
攝	nip6/sip3
懒	laan5
御	yu6/yu6
芬	fan1
鐮	lim4
贾	ga2/gu2
窒	jat6
鋟	chim1
详	cheung4
猱	naau4
忟	mang2
濼	bok6/lok6
俞	yu4
萹	pin1
袤	mau6
鼋	yun4
痏	fui2
硤	gip3/haap6
釵	cha1/chaai1
穌	sou1
髦	mou4
喉	hau4
縗	cheui1
这	je5
刈	ngaai6
厤	lik6
旷	kwong3
溢	yat6
燋	jiu1
翱	ngou4
懿	yi3
泭	fu4
莴	wo1
侥	hiu1/giu1
僣	jim3
郇	seun1
硍	gan1
闷	mun6
妯	juk6
氅	chong2
献	hin3
啼	tai4
赋	fu3
涡	wo1/gwo1
罰	fat6
导	dou6
脅	hip3
泗	si3
奐	wun6
晛	yin6
鲨	sa1
廖	liu6
欼	chi2/syut3
磉	song2
茨	chi4
諭	yu6
慷	hong2/hung2/kong2
谣	yiu4
徉	yeung4
闠	fui2
采	choi2/choi3/choi2
頼	laai6
搐	chuk1
鑰	yeuk6
墦	faan4
恝	aat3/gaat1
捎	saau1
必	bit1
鮞	yi4
鶖	chau1
絢	hyun3
亩	mau5
趹	kyut3
鶩	mou6
娟	gyun1
瘝	gwaan1
楢	yau4
蹝	saai2
牀	chong4
螂	long4
樛	gau1
潜	chim4
纰	pei1
踅	chit3
鸺	yau1
琢	deuk3
頡	git3/kit3
晓	hiu2
鋙	yu5
詗	gwing2
穋	luk6
毓	yuk1
畀	bei2
塕	yung1
侪	chaai4
维	wai4
茹	yu4
幨	jim1
叮	ding1
釹	neui5
訖	gat1/ngat6
季	gwai3
謏	sau2
佬	lou2
嗹	lin4
揩	haai1
鷓	je3
跴	choi2
疐	ji3
宓	mat6
蛓	ji1
銮	lyun4
撺	chyun3
𠱁	tam3
娇	giu1
并	bing6/bing3/bing1/bing3
垫	din3/jin3/din6
铙	naau4
汇	wui6/wui6/wai6
碌	luk1
洹	wun4/yun4
罈	taam4
鐒	lou4
榕	yung4
峡	haap6
眭	kwai4
棚	paang4
仞	yan6
鈹	pei1
叽	gei1
愿	yun6
逻	lo4/lo6
蹣	mun4
蒴	sok3
顋	soi1
曷	hot3
肸	yat6
寰	waan4
飆	biu1
孵	fu1
甜	tim4
孃	neung4
踯	jaak6
琊	ye4
轙	yi5
霎	sap3
笄	gai1
钲	jing1
徵	jing1/ji2
喭	ngon6/yin5
懷	waai4
操	chou1
楼	lau4
椠	chim3
槁	gou2
釆	bin6
緒	seui5
蛏	ching1
钗	cha1/chaai1
跹	sin1
鱵	jam1
锔	guk1
逕	ging3
則	jak1
弗	fat1
郐	kui2
攷	haau2
湟	wong4
蕘	yiu4
韡	wai4
竄	chyun3
韙	wai5
鑒	gaam3
脘	gun2
壕	hou4
瓠	wu6
湢	bik1
潮	chiu4
矉	pan4
萝	lo4
觯	ji3
栋	dung3/dung6
闔	hap6
鉸	gaau2
羁	gei1
乐	lok6/ngok6
戲	hei3
緯	wai5
鸟	niu5
讖	cham3
册	chaak3
痉	ging6
橄	gam3
椒	jiu1
毾	taap3
睛	jing1
轶	yat6
语	yu5
驄	chung1
螭	chi1
笲	faan4
材	choi4
憖	yan6
偾	fan5
恚	wai6
腸	cheung4
苤	pei2
纘	jyun2
壝	wai2
悦	yut6
如	yu4
釱	daai6
甗	yin5
饜	yim3
羇	gei1
羖	gu2
杳	miu5
睊	gyun1
扩	kwong3/kong3/kwok3
莽	mong5
褳	lin4
逡	seun1
镳	biu1
亄	yi4
府	fu2
霪	yam4
施	si1
猘	jai3
堋	paang4
筤	long4
薺	chai5
袈	ga1
椭	to5
浥	yap1
癬	sin2
赐	chi3
搕	hap1
悝	fui1
狐	wu4
虚	heui1
逭	wun6
玫	mui4
竅	hiu3/kiu3
睼	tai4
媳	sik1
輊	ji3
燖	cham4
猢	wu4
米	mai5
鷕	yiu4
詎	geui6
嶸	wing4
遙	yiu4
蛺	gaap3
组	jou2
癆	lou4
輞	mong5
谝	pin4
觭	kei1
歟	yu4
溎	gwai3
醍	tai4
鸶	si1
櫥	chyu4
厄	ak1
雎	zeoi1
器	hei3
陞	sing1
笻	kung1
唅	ham1/ngam4/ngam6/ngan4
蛭	jat6
籁	laai6
亳	bok3
蠛	mit6
鷊	yik6
澔	hou4
遮	je1
漁	yu4
邋	laap6
征	jing1/ji2/jing1
镔	ban1
俎	jo2
鶹	lau4
项	hong6
氟	fat1
囿	yau6
獾	fun1
墫	chun1
瘍	yeung4
構	gau3
翰	hon6
育	yuk6
叼	diu1
溳	wan4
臬	yit6
峻	jeun3
藚	juk6
嚏	tai3
绻	hyun3
簫	siu1
峦	lyun4
儿	yi4
張	jeung1
箏	jang1/jaang1
捺	naat6
堀	fat1
清	ching1
皸	gwan1
恃	chi5/si5
铉	yun5
遄	chyun4
謦	hing3
揪	chau1
血	hyut3
瞪	dang6
字	ji6
校	haau6/gaau3
姨	yi4
球	kau4
効	haau6
睡	seui6
咫	ji2
蓐	yuk6
轘	waan6
尔	yi5
靚	leng3
葆	bou2
瘢	baan1
倚	yi2
挈	kit3
虖	fu1
紹	siu6
鴛	yun1
酡	to4
忐	taan2
煨	wui1
嫉	jat6
顺	seun6
酣	ham4
鼕	dung1
淖	naau6
黩	duk6
鞌	on1
闯	chong2/chong3
奂	wun6
鳏	gwaan1
煎	jin1
掉	diu6
艇	teng5/ting5
鶲	yung1
罦	fau4
韌	yan6
鄲	daan1
呛	cheung1
倍	pui5
馏	lau6
盝	luk6
墜	jui6
眞	jan1
魷	yau4
芄	yun4
禪	sim3/sin4/sin6
囹	ling4
鎔	yung4
奪	dyut6
翳	ai3/yi1
速	chuk1
歴	lik6
萑	wun4
貌	maau6
闻	man4
瘨	din1
繞	yiu5
皞	hou6
歾	mut1
夸	kwa1/kwa1
贝	bui3
熅	wan3
祺	kei4
擂	leui4
蝟	wai6
匍	pou4
嘍	lau1/lau4
魯	lou5
鸷	ji3
鸱	chi1
喓	eu1/yiu1
袄	ou2
罌	aang1
擊	gik1
曄	yip6
皲	gwan1
籔	sou2
訑	yi4
釪	yu4
憎	jang1
叩	kau3
菶	bung2
增	jang1
狱	yuk6
享	heung2
醴	lai5
尒	yi5
酦	put3
优	yau1
承	sing4
龄	ling4
喬	kiu4
钪	kong3
璁	chung1
驖	tit3
脱	tyut3
偌	ye6
錕	gwan1
譭	wai2
騾	lo4
噉	gam2
爽	song2
庇	bei3
箇	go3
弭	mai5/mei5
淘	tou4
觴	seung1
轼	sik1
讚	jaan3
卮	ji6
纛	dou6/duk6
勤	kan4
藜	lai4
潯	cham4
侖	leun4
鉥	seut6
讌	yin3
劁	chiu1
弤	dai2
餪	nyun5
虺	fui1/wai2
太	taai3
纥	gat1
癲	din1
尕	ga1
麒	kei4
臕	biu1
猎	lip6
犀	sai1
您	nei5
埏	yin4
冈	gong1
足	juk1
肓	fong1
羊	yeung4
欸	aai2/ei6/oi1
潛	chim4
缧	leui4
庆	hing3
券	hyun3
诮	chiu3
謷	ngou4
碜	cham2
颀	kei4
隹	zeoi1
縞	gou2
岐	kei4
絕	jyut6
濱	ban1
郗	chi1
饶	yiu4
疙	gat6
阶	gaai1
贛	gam3
旱	hon5
奏	jau3
桉	on1
眹	jam6
嗎	ma3
熯	hon5
穜	tung4
疣	yau4
键	gin6
戊	mou6
鍪	mau4
羱	yun4
賑	jan3
浏	lau4
褚	chyu2
僳	suk1
銑	sin2
订	ding3/deng6
桐	tung4
卞	bin6
挍	ngaau1
顴	kyun4
飴	yi4
珪	gwai1
痺	bei3
釗	chiu1
艙	chong1
岔	cha1/cha3
趟	tong3
今	gam1
堆	deui1
蠹	dou3
芃	pung4
碱	gaan2
昂	ngong4
菫	gan2
氫	hing1
脖	but6
谮	jam3
酪	lok3
惕	tik1
蕁	cham4
鴳	aan3
囮	ngo4/yau4
寖	jam3
颢	hou6
拾	sap6
糞	fan3
閥	fat6
駐	jyu3
覇	ba3
篤	duk1
包	baau1
诹	jau1
綯	tou4
广	gwong2
鈿	din6/tin4
儃	chin4/taan2
蹔	jaam6
識	sik1
镇	jan3
简	gaan2
嬤	ma1
廷	ting4
踒	wo1
祆	yiu1
災	joi1
啣	haam4
呓	ngai6
仉	jeung2
縷	leui5
昙	taam4
獸	sau3
誕	daan3
礦	kwong3/gwong3
溜	lau6/lau1/liu1
戮	luk6
潇	siu1
弃	hei3
裛	yap1
砝	fat3
荽	seui1
疸	taan2
墓	mou6
駮	bok3
噬	sai6
兔	tou3
轨	gwai2
煠	ja3
缲	chiu1/sou1/tiu1
极	gik6
紱	fat1
耒	leui6/loi6
殫	daan1
忍	yan2
正	jing1/jing3/jeng
漱	sau3/sou3
郈	hau6
钳	kim4
碳	taan3
蘢	lung4
杆	gon1/gon2
鲕	yi4
眽	mak6
昕	yan1
洎	gei3/gei6
奬	jeung2
皤	po4
姣	haau4/gaau2
贅	zeoi3
冼	sin2
彪	biu1
鲒	git3
呸	pei1
簍	lau5
关	gwaan1
盬	gu2
旛	faan1
耡	cho4
楦	hyun3
薑	geung1
鲠	kang2/gang2
樹	syu6
膰	faan4
沂	yi6
沦	leun4
苠	man4
陲	seui4
皰	paau3
赔	pui4
葚	sam6
馍	mo4
洙	jyu1
蓊	yung2
酵	gaau3/haau1
拯	ching2
鸒	yu5
讒	chaam4
霫	jaap6
壮	jong3
诞	daan3
远	yun5
狫	lou5
亲	chan1
農	nung4
隣	leun4
慄	leut6
彝	yi4
罕	hon2
调	diu6/tiu4
恭	gung1
勍	king4
徼	giu2/giu3/yiu1
屆	gaai3
玆	ji1
糟	jou1/jou1
柲	bei3
掾	yun6
悩	nou5
壚	lou4
簻	gwo6
堰	yin2
縫	fung4/fung6
潋	lim6
盆	pun4
艚	chou4
箕	gei1
驀	mak6
綅	cham1
汨	gwat1
紋	man4
蓣	yu6
墮	do6
秆	gon2
媚	mei6
弸	bang1
藙	ngai6
餚	ngaau4
養	yeung5
螘	ngai5
儘	jeun2
巨	geui6
璘	leun4
棨	kai2
解	gaai2/haai6
嬝	niu5
葭	ga1
筩	tung2/tung4
乌	wu1
丝	si1
峿	ng4
饗	heung2
昌	cheung1
骣	chin5
桠	nga4
戀	lyun2/lyun5
呦	yau1
叢	chung4
狨	yung4
籍	jik6
醲	nung4
昳	dit6
瘚	gyut3
郑	jeng6/jing6
葫	wu4
蝀	dung3
禹	yu5
碰	pung3
鬫	haam2
渰	yim1
垆	lou4
祁	kei4
亶	taan2
涨	jeung3/jeung2
號	hou6
後	hau6
仅	gan2
惫	baai6/bei6
襌	daan1
膏	gou1
拌	bun3/pun3
古	gu2
娃	wa1
哄	hung2/hung6/hung6
遞	dai6
雟	kwai4
檟	ga2
歌	go1
畽	dung2
亟	gik1/kei3
祲	jam1
箓	luk6
導	dou6
稠	chau4
顸	hon1
蜈	ng4
嶲	kwai4/seui2
瑭	tong4
袚	fai3
倔	gwat6
吁	heui1/yu6
銧	gwong1
銘	ming4
娄	lau4
狡	gaau2
健	gin6
藕	ngau5
郊	gaau1
栉	jit1
姓	sing3
琫	fung2/pung2
稬	no6
檩	lam5
痙	ging6
氮	daam6
艾	ngaai6
袷	gaap3
抄	chaau1
铲	chaan2/chaan2
讯	seun3
筲	saau1
殉	seun1/seun6
劭	siu6
劇	kek6
懑	mun6
燠	yuk1
仃	ding1
报	bou3
渲	syun3
幪	mung4
嗛	haam4/hip3
屙	o1
洸	gwong1
嘲	jaau1
偎	wui1
西	sai1
赛	choi3
縴	hin3
倨	geui3
塔	taap3
认	ying6
惹	ye5
毈	dyun6/wo5
裡	leui5/lei5
擗	pik1
壘	leui5
罩	jaau3
动	dung6
嘱	juk1
煌	wong4
噘	kyut3
籟	laai6
鏇	syun4
鱼	yu2
馭	yu6
汚	wu1
獘	bai6
髡	kwan1
囁	jip3
蓽	bat1
蠊	lim4
酿	yeung6
骝	lau4
粲	chaan3
蹠	jik3
滴	dik1
栓	saan1
嬗	sin6
蕊	yeui5
阳	yeung4
冥	ming4
褊	bin2
禖	mui4
鷥	si1
襮	buk6
獃	daai1/daai4/ngoi4
谥	si3
卒	jeut1/chyut3
鹎	bei1
摆	baai2
搦	nik1
歎	taan3
扤	at1/ngaat6/ngat1
泡	pou5/paau3/paau1
结	git3
艸	chou2
思	si1
齿	chi2
殡	ban3
拔	bat6
揈	fing6
铺	pou3/pou3
醇	seun4
闟	taap3/kaap1
畯	jeun3
菔	baak6
募	mou6
畴	chau4
帟	yik6
哑	a2
艖	cha4/cho1
說	syut3
哳	jaat3
貜	fok3
妍	yin4
惭	chaam4
珀	paak3
灩	yim6
釂	jiu3
趴	pa1
性	sing3
淀	din6/din6
劼	kit3
刀	dou1
吨	deun1
揹	bui3
弮	hyun1
盔	kwai1
旬	cheun4
殰	duk6
嘶	sai1
削	seuk3
桫	so1
揰	chung3
幔	maan6
勘	ham3
歃	saap3
圍	wai4
鰳	lak6
怳	fong3
媺	mei5
槤	lin4
啍	jeun1/teun1
訓	fan3
载	joi3/joi2
枰	ping4
捧	pung2/fung2
淬	cheui3/seui6
篠	siu2
珺	gwan6
瑁	mou6
劲	ging6/ging3
邧	yun4
锈	sau3
炳	bing2
專	jyun1
旗	kei4
盦	am1
贮	chyu5
摛	lei4
揆	kwai4/kwai5
爍	seuk3
赃	jong1
氣	hei3
路	lou6
脝	hang1
酌	jeuk3
缫	sou1
蜾	gwo2
顕	hin2
狀	jong6
撞	jong6
寝	cham2
瘂	a2
劑	jai1
珽	ting5
悭	haan1
愧	kwai3
眵	chi1
况	fong3
顗	ngai5
埔	bou3
獨	duk6
觑	cheui3
廳	teng1
廟	miu6
肫	jeun1
眶	kwaang1/hong1
砑	nga6
泂	gwing2
頷	ham5
钣	baan2
蜷	kyun4
教	gaau3
樯	cheung4
鄱	po4
緶	pin4
洛	lok3
茄	ga1/ke4
螽	jung1
璈	ngou6
榨	ja3
頂	ding2/deng2
媾	gau3
譴	hin2
颯	saap3
讣	fu6
圞	lyun4
瘡	chong1
成	sing4/sèhng
烧	siu1
斛	huk6
楓	fung1
礄	kiu4
砟	ja2/jok3
魟	gung1
埽	sou3
迳	ging3
眚	saang2
术	seut6
僧	jang1/sang1
乒	bing1/ping1
擷	git3/kit3
抌	dam2
儉	gim6
饇	yu3
贤	yin4
厥	kyut3
租	jou1
紊	man6
玛	ma5
炘	yan1
穗	seui6
界	gaai3
篴	dik6
昀	wan4
掟	deng3
坌	ban3
欶	sok3
貊	mak6
摟	lau5/lau1/lau2/lau4
谳	yin6
攻	gung1
娑	so1
啋	coi1
堂	tong4
邰	toi4
弣	fu2
铥	diu1
幠	fu1
湃	baai3/paai3
鐘	jung1
茱	jyu1
黓	yit6
仁	yan4
沃	yuk1
犁	lai4
黈	tau2
璎	ying1
偭	min5
锲	kit3
剀	hoi2
糊	wu4
众	jung3
怯	hip3
劃	waak6
志	ji3/ji3
悅	yut6
礿	yeuk6
荷	ho4/ho6
狈	bui3
梩	lei5
轤	lou4
韵	wan6
澂	ching4
柱	chyu5
銎	kung4
龜	gwai1
駟	si3
禠	si1
顧	gu3
磣	cham2
非	fei1
轆	luk1
芣	fau4
秏	hou3
蒜	syun3
訾	ji2
惺	sing1
癡	chi1
哥	go1
耨	nau6
諛	yu4
锘	jok6
滮	biu1
羹	gang1
髾	saau1
靉	oi2
巹	gan2
佟	tung4
嗑	haap3/hap6
蓌	cho5
堯	yiu4
儦	biu1
怆	chong3
喇	la1
爚	yeuk6
剽	piu5
神	san4
毙	bai6
带	daai3/daai2
脓	nung4
釭	gong1
篆	syun6
幢	chong4/tong4
駑	nou4
蒎	paai3
磋	cho1
茸	yung4
殖	jik6
柈	bun6
轇	gaau1
劾	hat6
檯	toi4*2
员	yun4
禘	dai3
蟜	giu2
唄	baai6
譏	gei1
幹	gon3
喷	pan3
鹞	yiu6
紕	pei1
給	kap1
涞	loi4
瓔	ying1
濞	pei3
村	chyun1
菀	yun2
籜	tok3
藩	faan4
忧	yau1
奘	jong6
逖	tik1
蔺	leun6
嗟	je1
並	bing6
腐	fu6/fu2
粞	sai1
搀	chaam1/chaam4
鈆	yun4
鬣	lip6
鄇	hau4
窆	bin2
榥	fong2
渾	wan4
即	jik1
纕	seung1
趮	chou3
牵	hin1
鹣	gim1
汽	hei3
郠	gang2
摀	wu2
顜	gong2
緌	yeui6
癩	laai3
驊	wa4
觥	gwang1
蕓	wan4
辺	bin1
棗	jou2
鏗	hang1
磺	wong4
践	chin5
侣	leui5
Q	kiu1
甫	fu2
缁	ji1
哋	dei6
陌	mak6
机	gei1
閘	jaap6
凳	dang3
桦	wa6
嘖	jaak3/jik1
帼	gwok3
硒	sai1
趋	cheui1
妨	fong4
瑛	ying1
氆	pou2
听	teng1/ting1/ting3
梓	ji2
勱	maai6
剉	cho3
奮	fan5
炯	gwing2
羶	jin1
铬	gok3
呃	ngaak1/aak1/ak1
裢	lin4
容	yung4
畷	jyut3
鹬	wat6
繹	yik6
鳃	soi1
牣	yan6
趁	chan3
睁	jaang1/jang1
身	san1
掬	guk1
宁	ning4
俁	yu5
犨	chau4
姚	yiu4
嫱	cheung4
倢	jip3
岂	hei2
窍	hiu3/kiu3
恋	lyun2/lyun5
謪	seung1
剚	si6
嵌	ham6
十	sap6
揫	chau1
璜	wong4
揌	si1
蟈	gwok3
俭	gim6
狄	dik6
邶	bui3
嬪	pan4
避	bei6
诲	fui3
僾	oi2
鍥	kit3
堿	gaan2
勣	jik1
妓	gei6
涸	kok3
譟	chou3
鱗	leun4
槟	ban1
稚	ji6
崴	wai1
鉍	bit1
鲰	jau1
蹼	buk6
煚	gwing2
巂	kwai4/seui2
裝	jong1
榧	fei2
躚	sin1
鳧	fu4
鬲	gaak3/lik6
靓	leng3
缟	gou2
翛	siu1
损	syun2
溫	wan1
屉	tai3
牲	saang1
玮	wai4
匪	fei2
秃	tuk1
司	si1
僅	gan2
蓿	suk1
决	kyut3
拂	faak1/fat1
喺	hai2
后	hau6/hau6
撖	haam5
縮	suk1
鍤	chaap3
啜	jyut3
祟	seui6
臛	kok3
轧	gaat3/jaat3
噃	bo3
果	gwo2
跽	gei6
絆	bun6
惘	mong5
一	yat1
話	wa6/wa2
盟	mang4
咕	gu1/gu2
紺	gam3
瑞	seui6
琥	fu2
虔	kin4
庥	yau1
有	yau5
釉	yau6
岩	ngaam4/ngaam4
笵	faan6
劝	hyun3
蔯	chan4
媕	om1
淪	leun4
柩	gau6
佑	yau6
绘	kui1
鳐	yiu4
珩	hang4
铎	dok6
僥	hiu1/giu1
蒗	long6
絖	fong3/kwong3
崟	yam4
槲	huk6
瘤	lau4
踩	chaai2
銪	yau5
逳	juk1
惝	chong2/tong2
幀	jing3
収	sau1
謳	au1
螮	dai3
刦	gip3
庖	paau4
咆	paau4
函	haam4
派	paai3/paai1
铹	lou4
犧	hei1
焞	teun1
慕	mou6
諾	nok6
秽	wai3
鸪	gu1
蟣	gei2
隶	dai6/lai6
窘	kwan3
儒	yu4
郤	gwik1
欤	yu4
洪	hung4
慵	yung4
苏	sou1/sou1
诟	gau2/hau2
達	daat6
蒙	mung4/mung4
钕	neui5
聝	gwik1
漚	au1/au3
梘	gaan2
緱	kau1
膑	ban3
邓	dang6
陽	yeung4
池	chi4
瞟	piu5
透	tau3
纆	mak6
鱘	cham4
儓	toi4
胰	yi4
棵	po1/fo2
窄	jaak3
粕	pok3
柯	o1
瑰	gwai3
跁	pa1
扇	sin3
渑	man5/sing4
稣	sou1
禴	yeuk6
臜	jim1
椮	sam6
呼	fu1
蔥	chung1
黻	fat1
钧	gwan1
噚	cham4
踊	yung2/yung2
铑	lou5
癢	yeung5
龔	gung1
芥	gaai3
跶	taat3/daat3
句	geui3
柁	to4
捍	hon2/hon6
褯	jik6
緩	wun6
鏟	chaan2
秒	miu5
银	ngan4/ngan2
蹂	yau4
押	aat3/aap3
逮	dai6/doi6
鲔	fui2
會	wui5/wui6/wui2
魉	leung5
豦	geui6
寞	mok6
捞	laau4/lou4
轢	lik1
暑	syu2
馄	wan4
炸	ja3
戆	ngong6
貽	yi4
怒	nou6
鬆	sung1
廬	lou4
氪	hak1
諂	chim2
吼	haau1/hau1
庬	pong4
咪	mai1/mi4/mai5
喊	haam3
课	fo3
蚴	yau2
鷯	liu4
鎌	lim4
传	chyun4/jyun6
訢	yan1
沧	chong1
骀	toi4
睑	gim2
緻	ji3
釁	yan3
蚬	hin2
黧	lai4
迓	nga6
铝	leui5
躔	chin4
醬	jeung3
为	wai6/wai4
筴	chaak3/gaap3
床	chong4
寵	chung2
騺	ji3
曾	chang4/jang1
摅	syu1
脬	paau1
鷸	wat6
燂	taam4
鎬	gou2/hou6
逴	cheuk3
鱟	hau6
鹃	gyun1
懽	fun1
更	gang3/gang1
艋	maang5
賚	loi6
匜	yi4
濤	tou4
岣	gau2/keui1
驢	leui4/lou4
馔	jaan6
纬	wai5
牠	ta1
鐔	taam4
靳	gan3
荀	seun1
闽	man4/man5
騑	fei1
艿	naai5
繘	leut6
檑	leui4
赵	jiu6
锅	wo1
麂	gei2
銥	yi1
輾	jin2
鶤	kwan1
殼	hok3
跪	gwai6
蠅	ying4
箧	haap6
閉	bai3
粪	fan3
詫	cha3
诋	dai2
涖	lei6
锺	jung1/jung1
杨	yeung4
掴	gwaak3/gwok3
鞍	on1
曲	kuk1
洌	lit6
靺	mut6
畤	ji6
嚿	gau6
茛	gan3
着	zoek3/zoek6
鲲	gwan1
佐	jo3
吓	ha5/haak3
棟	dung3/dung6
仿	fong2/pong4/fong2/fong2
宰	joi2
嫦	seung4
驹	keui1
慎	san6
嘢	ye5
痨	lou4
捄	gau3/haau6
踰	yu4
供	gung1
阋	yik1
貝	bui3
词	chi4
袺	git3
忖	chyun2
鵡	mou5
寺	ji6
佷	han2
絜	git3
菇	gu1
嘹	liu4
錟	taam4
致	ji3/ji3
吋	chyun3
繖	saan3
