缘	yun4
旁	pong4
署	chyu5
榴	lau4
湘	seung1
弛	chi4
丰	fung1/fung1
辇	lin5
瘏	tou4
眼	ngaan5
轰	gwang1
愫	sou3
唓	che1
柢	dai2
均	gwan1
乏	fat6
籬	lei4
窯	yiu4
瞭	liu4/liu5
螬	chou4
琦	kei4
抵	dai2
鷺	lou6
言	yin4
絺	chi1
擄	lou5
礞	mung4
鋼	gong3/gong1
膟	leut6
諸	jyu1
璨	chaan3
眩	yun6
椴	dyun6
淆	ngaau4
塵	chan4
尼	nei4
琨	gwan1
搞	gaau2
曌	jiu3
賂	lou6
緇	ji1
暂	jaam6
暈	wan4
瀅	ying4
悄	chiu2
郵	yau4
礪	lai6
窟	fat1
髭	ji1
沇	wai5/yin2
胡	wu4/wu4
潏	gyut3
須	seui1
輶	yau4
蟻	ngai5
玢	ban1/fan4
騸	sin3
威	wai1
珐	faat3
隈	wui1
帚	jau2
劍	gim3
葳	wai1
呀	a3/a1/a6
碎	seui3
痧	sa1
婉	yun2
马	ma5
珂	o1
爪	jaau2
揎	syun1
瞠	jaang1
鏚	chik1
蕑	gaan1
疊	dip6/daap6
泄	sit3/sit3
騎	ke4/kei4
裒	fau4/pau4
窞	daam6
鞨	hot3
馹	yat6
禮	lai5
杯	bui1
澮	kui2
墙	cheung4
蛣	gat1
绒	yung4
斠	gau3/gok3
概	koi3/koi2
嗽	sau2
英	ying1
嘉	ga1
浭	gang1/gaang3
溼	sap1
茌	chi4
煲	bou1
赠	jang6
葄	jou3
鴕	to4
鍶	si1
絅	gwing2
仓	chong1
騷	sou1
嶴	ou3
貺	fong3
鸳	yun1
特	dak6
駰	yan1
楚	cho2
躩	fok3
跤	gaau1
截	jit6
酒	jau2
步	bou6
綌	gwik1
篮	laam4
喔	ak1/o1
硫	lau4
斬	jaam2
哿	go2/ho2
棫	wik6
鄂	ngok6
胹	yi4
窔	yiu2
黥	king4
而	yi4
涼	leung4
窦	dau3
崛	gwat6
谁	seui4
鈉	naap6
攛	chyun3
嘐	haau1
簜	dong1
蜢	maang5
羈	gei1
假	ga2/ga3
榠	ming4
鸹	kut3
纡	yu1
蹶	kyut3
讫	gat1/ngat6
龍	lung4
訧	yau4
钝	deun6
诏	jiu3
屯	tyun4/jeun1
衮	gwan2
硎	ying4
磪	cheui1
亵	sit3
砭	bin1
鳖	bit3
尷	gaam3/gaam1
唾	teu3/to3/tou3
宪	hin3
尋	cham4
燮	sit3
拴	saan1
驁	ngou4
邮	yau4
蒨	sin3
尖	jim1
镕	yung4
暵	hon3
値	jik6
屬	suk6
尴	gaam3/gaam1
塱	long5
冞	mei4
摻	chaam1/chaam4
酥	sou1
歜	chuk1
峽	haap6
定	ding6
鼖	tou4
蠢	cheun2
悲	bei1
坴	luk6
鄫	chang4
腮	soi1
審	sam2
摘	jaak6
仰	yeung5
卬	ngong4
僭	chim3/jim3
徕	loi4
貼	tip3*1
勦	chau2/jiu1
辩	bin6
奥	ou3
秤	ching3
煽	sin3
柿	chi5
糾	gau2
櫧	jyu1
雾	mou6
乜	mat1
鉤	gau1/ngau1
艳	yim6
幛	jeung3
告	gou3
客	haak3
鈳	o1
蒿	hou1
镀	dou6
鎰	yat6
骓	zeoi1
埴	jik6
琬	yun2
鴝	keui4
嶼	yu4/zeoi6
掏	tou4/tou4
翣	saap3
啩	gwa3
锶	si1
济	jai3/jai2
韦	wai4
鞞	bei2
荫	yam3
諄	jeun1
飒	saap3
幄	ak1
僉	chim1
铌	nei4
痦	ng4
換	wun6
乩	gei1
縚	tou1
蒺	jat6
順	seun6
闿	hoi2
邝	kwong3
潕	mou5
紡	fong2
蚁	ngai5
漾	yeung6
锂	lei5
櫫	jyu1
钋	pok3
骁	hiu1
繫	hai6
礧	leui5
竽	yu1/yu4
眈	daam1
瞞	mun4
騧	gwa1
踟	chi4
豚	tyun4
猋	biu1
猊	ngai4
泌	bei3
弁	bin6
濰	wai4
迤	yi4/yi5
赣	gam3
捩	lit6
芴	fat1
悽	chai1
釐	lei4
魃	baat6
诔	loi6
揠	aat1/aat3
邂	haai6
蔦	niu5
枓	dau2
民	man4
絷	jap1
瀺	chaam4
酉	yau5
宕	dong1
磯	gei1
兒	yi4
吱	ji1
尤	yau4
褽	wai3
也	ya5
了	liu5/liu4/liu5
螿	jeung1
镊	nip6
耜	ji6
干	gon1/kin4/gon1/gon3
羸	leui4
鹰	ying1
潎	pit3
翫	wun6
魁	fui1
廞	yam1
遛	lau4
齜	ji1
擱	gok3
洟	tai3/yi4
俊	jeun3
阊	cheung1
鴉	a1
牆	cheung4
輔	fu6
帙	dit6
瑽	chung1
綮	hing3/kai2
瞵	leun4
务	mou6
謬	mau6
荸	but6
義	yi6
嚦	lik6
杭	hong4
圓	yun4
瞷	gaan3
鎩	saat3
惏	laam4
媽	ma1
鱎	giu2
伦	leun4
呫	tip3
賏	ying1
骞	hin1
蝠	fuk1
踹	chaai2
紜	wan4
蛆	zeoi1
缀	zeoi3/jyut3
袱	fuk6
飨	heung2
管	gun2
冽	lit6
啾	jau1
裁	choi4
鐇	faan4
捂	wu2/wu2
黰	jan2
籽	ji2
蠡	lai5
簋	gwai2
鼒	ji1
钠	naap6
狂	kwong4
寶	bou2
粤	yut6
濩	wok6/wu6
濫	laam6
蕈	cham5
笙	saang1
稂	long4
淢	gwik1
艗	yat6
咡	mai1/mai4
螗	tong4
連	lin4
彗	seui6/wai6
蜑	daan6
倥	hung1/hung2
脢	mui4
实	sat6
延	yin4
篛	yeuk6
躲	do2
蛄	gu1
羿	ngai6
约	yeuk3
勛	fan1
祂	ta1
榻	taap3
泺	bok6/lok6
誣	mou4
絣	bing1
牦	moi4
七	chat1
繣	waak6
桴	fu1
屡	leui5
鋱	tik1
絡	lok3
慥	chou3/jou6
盂	yu4
侇	yi4
廹	baak3/bik1
豭	ga1
拎	ling1
栳	lou5
稍	saau2
雄	hung4
釩	faan4
狎	haap6
襾	ka1
巷	hong6
鲭	ching1
痔	ji6
普	pou2
瘳	chau1
翀	chung1
枯	fu1
昄	baan2
媪	ou2/wan2
命	ming6/meng6
墬	zeoi6
绅	san1
曛	fan1
诜	san1
獻	hin3
罷	ba6
祿	luk6
鶒	chik1
销	siu1
繠	yeui5
亓	kei4
終	jung1
禂	dou2
弍	yi6
聊	liu4
肃	suk1
革	gaak3/gaap3
圜	waan4/yun4
輻	fuk1
黑	haak1/hak1
烈	lit6
柠	ning4
筰	jok6
掂	dim1/dim6
荔	lai6
崗	gong1
謫	jaak6
裀	yan1
鈰	si5
搁	gok3
黠	hat6/kit3
穵	waat3
漯	lok3/taap3
肛	gong1
喱	lei1
鐻	geui6
駛	sai2
匐	baak6
饌	jaan6
頏	hong4
迄	ngat6
富	fu3
阜	fau6
崑	kwan1
攮	nong5
騄	luk6
皴	seun1
豱	wan1
絘	chi3
遜	seun3
藝	ngai6
棯	nim1
鱷	ngok6
掮	kin4
菱	ling4
鱠	kui2
厍	se3
蔊	hon5
橚	suk1
滋	ji1
匕	bei6
殘	chaan4/chaan1
攘	yeung4/yeung5
匚	fong1
搉	kok3
姮	hang4
擋	dong2/dong3
搿	gaap3
抶	maat3/mut3
琁	syun4
遂	seui6
鑷	nip6
薳	wai2/yun5
疗	liu4
臌	gu2
辐	fuk1
橱	chyu4
戍	syu3
夌	ling4
汰	taai3
鵀	yam4
橋	kiu4
短	dyun2
朶	deu2/do3
恆	hang4
轑	lou4
溶	yung4
醵	geui6/keuk6
興	hing1/hing3
庶	syu3
歡	fun1
滨	ban1
畎	hyun2
橢	to5
刺	chi3
垲	hoi2
罅	la3
斌	ban1
悔	fui3
酹	laai6/lyut3
壖	yun4
悉	sik1
养	yeung5
悁	gyun1
寐	mei6
膠	gaau1
侐	gwik1
夷	yi4
涔	sam4
莢	gaap3
禺	yu4
鋊	yuk6
莕	hang6
莨	leung4/long4
剐	wa2
憶	yik1
萨	saat3
受	sau6
财	choi4
麤	chou1
闊	fut3
鸮	hiu1
蜂	fung1
繼	gai3
氩	a3
懺	chaam3
矼	kung4
篥	leut6
鯇	waan5
户	wu6
苛	ho1
儵	suk6
哧	chi1
坐	cho5/jo6
琏	lin5
凔	chong1
匝	jaap3
蝾	wing4
伶	ling4
釓	gaat3
融	yung4
祫	haap6
取	cheui2
恧	nuk1
鏜	tong1
惶	wong4
件	gin6
佚	yat6
聞	man4
章	jeung1
鞄	paai4
瀾	laan4
怙	wu6
眄	min5
筮	sai6
漰	paang4
栭	yi4
渥	ak1
霹	pik1
讦	kit3
婚	fan1
螀	jeung1
軟	yun5
诫	gaai3
賣	maai6
顑	ham2
戩	jin2
冱	wu6
萬	maan6
铫	diu6
躬	gung1
豗	fui1
讞	yin6
傘	saan3
比	bei2
㩒	gam6
荄	goi1
恐	hung2
雁	ngaan6
鸯	yeung1
癖	pik1
裸	lo2
琼	king4
嶗	dang3
惮	daan6
衒	yun6
匊	guk1
蕃	faan4
歼	chim1
囀	jyun2
幰	hin3
劏	tong1
蓂	ming4
燴	wui6
想	seung2
锞	gwo2
拷	haau2
嚅	yu4
蕲	kei4
乱	lyun6
禜	wing6
淮	waai4
澗	gaan3
氐	dai1/dai2
钒	faan4
楝	lin6
鹕	wu4
陬	jau1
虻	mong4
甓	pik1
嫌	yim4
躉	dan2
栎	lik1
枕	jam2
駜	bei3
堈	gong1
钙	koi3
霖	lam4
肖	chiu3
枷	ga1
硗	haau1
羚	ling4
閭	leui4
網	mong5
凄	chai1
漦	lei4
蛜	yi1
阿	a3/o1
孑	kit3
俑	yung2
懶	laan5
哚	deu1/do2
蔇	gei3
帮	bong1
攲	kei1
硨	che1
题	tai4
吲	chan2
漓	lei4
搰	wat6
躯	keui1
去	heui3
圇	leun4
疑	yi4
憬	ging2/gwing2
艴	fat1
厘	lei4/lei4
鵰	diu1
熹	hei1
援	wun4/yun4
諮	ji1
蓁	jeun1
賬	jeung3
鴠	taan3
漠	mok6
哆	chi2/do1
耧	lau4
汞	hung6
賧	jin6
玁	him2
湜	jik6
棠	tong4
铃	ling4/ling1
翚	fai1
猙	jaang1/jang1
蓏	lo2
奄	yim2
鼐	naai5
嶮	him2
谒	yit3
癜	din6
掐	haap3
湝	gaai1
冧	lam1/lam3
遘	gau3
騕	yiu5
蝣	yau4
侚	seun1
鱿	yau4
鲤	lei5
孰	suk6
哙	faai3
輟	jyut3
瀦	jyu1
矛	maau4
咖	ga1/ga3/ka1
朋	pang4
毵	saam1
镬	wok6
涪	fau4
匆	chung1
祕	bei3
担	daam1/daam3
鰉	wong4
楟	ting4
渫	sit3
軱	gu1
奠	din6
凱	hoi2
终	jung1
髒	jong1
筹	chau2/chau4
欿	ham2
目	muk6
胥	seui1
姹	cha3
邏	lo4/lo6
氥	saan1/sin1
刎	man5
坆	fan4
筝	jang1/jaang1
踎	mau1
瘗	yi3
镑	bong2/bong6
謼	fu1
膘	biu1
鯧	cheung1
沄	wan4
掀	hin1
崢	jang1
涊	nin5
蟶	ching1
曏	heung3
抓	jaau2/ja1
悻	hang6
馊	sau1
恻	chak1
縢	tang4
猴	hau4
胀	jeung3
暹	chim1/chim3
回	wui4
壈	lam5
郴	sam1
鹽	yim4
缙	jeun3
需	seui1
鴨	aap3/ngaap3
醺	fan1
砉	waak6
粮	leung4
湔	jin1
禸	yau2
蓀	syun1
蔓	maan6
滟	yim6
癪	jik1
蘆	lou4
撟	giu2/giu6
寄	gei3
崒	jyut3
姽	gwai2
萇	cheung4
羨	sin6
蹌	cheung1
妫	gwai1
臻	jeun1
馆	gun2
湫	jau1/jiu2
诃	ho1
贸	mau6
騅	zeoi1
欹	kei1/yi1
耿	gang2
犇	ban1
摧	cheui1
狼	long4
舟	jau1
軼	yat6
設	chit3
那	na5
遑	wong4
铱	yi1
紼	fat1
丑	chau2/chau2
寃	yun1
耘	wan4
餺	bok3
饭	faan6
纠	gau2
扳	paan1
蝃	dai3
淇	kei4
标	biu1
俷	fei4
婊	biu2
伯	baak3/ba3
澆	giu1/hiu1
外	ngoi6/oi6
猜	chaai1
宛	yun2
e3	e1
械	haai6
頲	ting5
遶	yiu5
邬	wu1
桧	kui2
襬	baai2
苒	yim5
叵	po2
膊	bok3
霣	wan5
鋍	but6
撈	laau4/lou4
羃	mik6
鞘	chiu3/saau1
旅	leui5
銹	sau3
眺	tiu3
卷	gyun3/gyun2
堕	do6
脐	chi4
羋	me1/me5
蟲	chung4
驚	ging1/geng1
壻	sai3
纵	jung3
絛	tou3
指	ji2
驻	jyu3
烋	yau1
濈	chap1
彈	daan2/daan6/taan4
遨	ngou4
尝	seung4/seung4
姗	saan1
磑	wui1
剴	hoi2
詑	to4
肋	laak6/lak6
伎	gei6
劣	lyut3
蘚	sin2
蚧	gaai3
颭	jim2
懥	chi3/ji3
灒	jaan3/jaan6
複	fuk1
鰒	fuk1
刃	yan6
劌	gwai3
坏	waai6
叻	lek1
綹	lau5
盤	pun4
窅	yiu2
责	jaak3
凤	fung6
嗱	naa4
轮	leun4
螵	piu1
篯	jin1
挝	wo1/gwo1/ja1
鏑	dik1
縹	piu5
岡	gong1
萐	saap3
罄	hing3
葩	ba1/pa1
计	gai3
喀	kak1
愴	chong3
蠍	hit3
袅	niu5
掯	kang3
澧	lai5
怦	ping1
鏷	buk6
娣	dai6/tai5
刘	lau4
畾	leui5
邇	yi5
盜	dou6
痕	han4
髟	biu1
升	sing1/sing1/sing1
鯰	nim4
胭	yin1
冓	gau3
腾	tang4
渟	ting4
惑	waak6
貂	diu1
佣	yung4
緡	man4/fan1
飢	gei1
鵒	yuk6
伟	wai5
湯	tong1
僱	gu3
泱	yeung1
嫒	oi3
鎗	cheung1
谌	sam4
耏	yi4
嚶	ang1/ying1
於	yu1
阮	yun5
泫	yun5
注	jyu3/jyu3
衛	wai6
奖	jeung2
愚	yu4
跟	gan1
砣	to4
餧	noi5/wai3
桎	jat6
姊	ji2
驰	chi4
鞫	guk1
兵	bing1
蝼	lau4
褫	chi2
蘊	wan3
氾	faan3
王	wong4
稱	ching1/ching3/chan3
勞	lou4/lou1
餒	neui5/noi5
鶇	dung1
跄	cheung1
愆	hin1
瀧	lung4
肱	gwang1
鹭	lou6
宧	yi4
彷	fong2/pong4
等	dang2
鹧	je3
抠	kau1
溯	sou3
瘁	seui6
搓	cho1/chaai1
莊	jong1
踮	dim3
詢	seun1
聶	nip6
厎	ji2
嘤	ang1/ying1
劊	gui3/kui2
綑	kwan2
莳	si4
櫟	lik1
葷	fan1
代	doi6
錡	yi2
渦	wo1/gwo1
藾	laai6
諫	gaan3
脆	cheui3
仑	leun4/leun4
兜	dau1
夹	gaap3/gaap2
氡	dung1
鈇	fu1
輜	ji1
鬟	waan4
釕	liu5
訣	kyut3
亚	a3/nga3
荭	hung4
飀	lau4
螄	si1
兰	laan4
邨	chyun1
屩	geuk3
偷	tau1
揶	ye4
懂	dung2
块	faai3
弈	yik6
耤	jik6
驦	seung1
灃	fung1
瑶	yiu4
綦	kei4
坒	bei2
轀	wan1
諦	dai3
琴	kam4
鐐	liu4
紳	san1
漊	lau4
魂	wan4
輝	fai1
砧	jam1
儌	hiu1
攔	laan4
化	fa3
掞	sim3
鲂	fong4
亡	mong4
垩	ok3
榱	cheui1
甭	bang2
跣	sin2
伕	fu1
妵	tau2
錏	a3
幂	mik6
伀	jung1
棺	gun1
讆	wai6
九	gau2
婀	o2
溴	chau3
鍰	waan4
锴	kaai2
涷	dung1
桁	haang4/hang4/hong4/hong6
蒞	lei6
盾	teun5
譬	pei3
劢	maai6
鳢	lai5
蹬	dang1/dang6
苧	chyu5
镱	yi3
襚	seui6
竞	ging3
绎	yik6
紿	doi6
胺	on1
睐	loi6
畚	bun2
僰	baak6
亥	hoi6
骱	haai6
闈	wai4
茍	gau2
过	gwo3
鬭	dau3
镗	tong1
乓	bam1/pong1
媢	mou6
鄣	jeung1
狉	pei1
荛	yiu4
尊	jyun1/jeun1
衾	kam1
贶	fong3
企	kei5
緹	tai4
旆	pui3
隩	yuk1
瘼	mok6
謹	gan2
涟	lin4
蚺	yim4
才	choi4/choi4
缌	si1
陡	dau2
頭	tau4
羢	yung4
腦	nou5
岨	jo2
岢	ho2
谬	mau6
紞	daam1
鳌	ngou4
習	jaap6
会	wui5/wui6/wui2
玅	miu6
蜆	hin2
薁	yuk1
孝	haau3
紮	jaat3
踧	chuk1
赅	goi1
愛	oi3/ngoi3
蹭	sang3
壺	wu4
樿	jin2
杌	ngat6
柵	chaak3/saan1/saan3
駙	fu6
喆	jit3
躍	yeuk6/yeuk3/tik1
奰	bei6
枻	sit3
欢	fun1
螾	yan5
曦	hei1
嚜	ma1/mak1
法	faat3
镟	syun4
愷	hoi2
暄	hyun1
苞	baau1
值	jik6
諵	naam4
飧	syun1
丸	yun2/yun4
弘	wang4
襴	laan4
魆	yut6
俗	juk6
薿	yi5
忝	tim2
录	luk6
徭	yiu4
髏	lau4
捕	bou6
餳	ching4
獒	ngou1
鬑	lim4
捣	dou2
猇	haau1
鮫	gaau1
吸	kap1
痪	wun6
湮	yan1
竖	syu6
薅	hou1
欞	ling4
踖	jik1
辘	luk1
雌	chi1
罻	wai3
讼	jung6
纖	chim1
裆	dong1
誙	haang1
咁	gam3/gam2
吝	leun6
酏	yi4
三	saam1/saam3
平	ping4
牘	duk6
鄘	tong4
薜	bai6
牾	ng5
峤	giu6/kiu4
牌	paai4
喋	dip6
骢	chung1
砸	jaap3
邱	yau1
燥	chou3
泽	jaak6
詐	ja3
銻	tai1
髌	ban3
醝	cho1
姉	ji2
醁	luk6
粘	nim1/jim1/nim4
谐	haai4
寿	sau6
繐	seui6
弯	waan1
鴈	ngaan6
諍	jaang3/jang3
蕠	yu6
囷	kwan1
蘭	laan4
泅	chau4/yau4
漉	luk6
躭	daam1
磷	leun4
筦	gun2
巰	kau4
塙	kok3
腥	seng1/sing1
秘	bei3/bei3
埠	fau6/bou6
蕩	dong6
関	gwaan1
蓮	lin4
鍼	jam1
苌	cheung4
砦	jaai6
陇	lung5
叭	ba1
式	sik1
酱	jeung3
厰	chong2
油	yau4
糰	tyun4
馥	fuk6/fuk1
鏹	keung5
洗	sai2
泰	taai3
刁	diu1
唶	je3
摔	seui1/seut1
蚪	dau2
鈺	yuk6
驔	taam4
擎	king4
除	cheui4
舁	yu4
砵	but3
憪	haan4
矫	giu2
东	dung1
愎	bik1
丱	gwaan3
锕	a1
麾	fai1
迋	wong6
辦	baan6
忭	bin6
纍	leui4
论	leun6
筸	gon2
扈	wu6
醽	ling4
摈	ban3
擻	sau2
孀	sung1
斐	fei2
痹	bei3/bei3
蜃	san5/san6
旌	jing1/sing1
刷	chaat3
稟	ban2
蕆	chin2/jin2
甔	daam1
桶	tung2
面	min6/min6
檳	ban1
逦	lei5
森	sam1
礫	lik1
躁	chou3
尧	yiu4
嗫	jip3
牴	dai2
齎	jai1
彰	jeung1
辁	chyun4
綪	sin3
达	daat6
趷	gat6
袂	mai6
鎭	jan3
矻	ngat6
境	ging2
釦	kau3
寁	jaan2
染	yim5
疆	geung1
僑	kiu4
昃	jak1
旃	jin1
垝	gwai2
藨	biu1
骈	pin4
黎	lai4
齷	aak1
冑	jau6
宦	waan6
炭	taan3
龢	wo4
碇	deng6
侍	si6
撬	giu6
弥	nei4/mei4/nei4
嘟	dou1
摹	mou4
滩	taan1/taan5
邐	lei5
蚱	ja3/jaak3
兇	hung1
泼	put3
壩	ba3
拗	aau2/aau3
岘	yin6
涠	wai4
躜	jyun2
簖	dyun6
阍	fan1
慰	wai3
钨	wu1
齙	baau1/baau6
积	jik1
昨	jok3
诈	ja3
抛	paau1
濁	juk6
涤	dik6
琉	lau4
褥	yuk6
耻	chi2
滎	ying4
潟	cheuk3/sik1
时	si4
負	fu6
楮	chyu5
鸦	a1
僖	hei1
诽	fei2
耞	ga1
盼	paan3
月	yut6
翥	jyu3
瀉	se3/se2
鸡	gai1
沚	ji2
錶	biu1
屮	chit3
相	seung1
鞙	gyun1
衭	fu1
蒂	dai3
璞	pok3
匙	chi4/si4
重	jung6/chung4/chung5
蹯	faan4
謀	mau4
碾	nin5
挌	gaak3
掛	gwa3
嵩	sung1
彧	yuk1
跞	lok3/lik1
酋	chau4/yau4
锉	cho3/cho3
梲	jyut3
翮	gaak3/hat6
挥	fai1
妮	nei4
鴆	jam6
磨	mo4/mo6
暾	tan1
釘	deng1
椵	ga2
鵂	yau1
煁	nam4/sam4
頜	gap3
炱	toi4
砺	lai6
屹	ngat6
颔	ham5
腊	laap6/sik1/laap6
糝	saam2
華	wa4
侑	yau6
偿	seung4/cheung4
搥	cheui4
篘	chau1
墊	din3/jin3/din6
荨	cham4/cham4
韝	gau3
霞	ha4
紉	yan6
颏	hoi4
霆	ting4
啫	jek1/je1/jēu
辱	yuk6
朝	jiu1/chiu4
挞	taat3/daat3
恸	dung6
灯	dang1
上	seung6/seung5
涌	chung1
仡	gaak3/ngat6
冷	laang5
廊	long4
楙	mau6
园	yun4
嫪	lou6
汎	faan3/faan6
藤	tang4
驟	jaau6/jau6
鷟	jok3
脹	jeung3
韓	hon4
鷴	haan4
嘴	zeoi2
蹓	lau6
塿	lau5
樖	po1
白	baak6
氲	wan1
栾	lyun4
久	gau2
鈸	bat6
轹	lik1
凛	lam5
髺	kut3
昽	lung4
厙	se3
鵬	paang4
铗	gaap3
愨	kok3
顿	deun6/duk6
筍	seun2
鴯	yi4
登	dang1
同	tung4
緋	fei1
遣	hin2
縡	joi2
磛	chaam4
奭	sik1
杵	chyu5
厲	lai6
罽	gai3
痫	haan4
邹	jau1
卓	cheuk3
缚	bok3/fok3
鬼	gwai2
鳷	ji1
扉	fei1
释	sik1
撳	gam6
镰	lim4
釣	diu3
匾	bin2/pin4
睽	kwai4
笞	chi1
瞍	sau2
誊	tang4
湩	dung3
鯢	ngai4
噂	jyun2
颼	sau1
鈒	jaap6
諏	jau1
珌	bit1
氿	gwai1
条	tiu4
恉	ji2
貫	gun3
樱	ying1
棍	gwan3
沩	gwai1
纩	kwong3
盎	ong3
杉	chaam3/saam1
霭	oi2
闒	taap3
岬	gaap3
张	jeung1
襫	sik1
摙	lin5
馅	haam5
氚	chyun1
峋	seun1
矱	wok3
刍	cho1
菢	bou6
罋	ong3/ung3
名	ming4/meng4
俬	si1
榜	bong2
鷗	au1
禦	yu6
獎	jeung2
雊	gau3
箸	jyu3/jyu6
嶝	dang3
撻	taat3/daat3
盱	heui1
魛	dou1
程	ching4
冏	gwing2
鞀	tou4
侗	dung6/tung4
綾	ling4
肪	fong1
臨	lam4
杴	yan1
汐	jik6
诙	fui1
邅	jin1
鎧	hoi2
色	sik1
顳	nip6
史	si2
笺	jin1
娱	yu4
燻	fan1
负	fu6
項	hong6
阕	kyut3
聂	nip6
賈	ga2/gu2
鈽	bou3
聱	ngou4
D	di1
杂	jaap6/jaap3
癫	din1
騠	tai4
跨	kwa3
靆	doi6
俛	fu2/min5
师	si1
顣	chuk1
弟	dai6
背	bui3/bui6/bui3
踴	yung2
留	lau4
窬	yu4
晡	bou1
擔	daam1/daam3
東	dung1
礡	bok3
浑	wan4
奓	ja1/se1
滿	mun5
菅	gaan1
埧	geui6
址	ji2
拨	but6
毒	duk6
鋪	pou3
胎	toi1
玃	fok3
佩	pui3/pui3
箨	tok3
酎	jau6
召	jiu6/siu6
鮮	sin1/sin2
傒	hoi4
貳	yi6
裯	chau4
蒇	chin2/jin2
跂	kei4/kei5
歕	pan3
突	dat6
顎	ngok6
铯	sik1
柄	beng3
肄	yi6
隴	lung5
渖	sam2
蕺	chap1
捻	nim2/nip6/nan2/nin2
鲇	nim4
揗	cheun4/tan4
馑	gan2
鄢	yin1
宋	sung3
其	kei4
鉀	gaap3
愈	yu6/yu6
齆	ung3
窾	fo1/fun2
云	wan4/wan4
蠏	haai5
峒	dung6/tung4
齊	chai4
銫	sik1
观	gun1/gun3
罏	lou4
輀	yi4
胝	dai1/ji1
窣	seut1
凑	chau3
欄	laan4
瀡	seui5
齪	chuk1
舋	lang6/yan3
以	yi5
锓	chim1
悍	hon5/hon6
襲	jaap6
沆	hong4
彤	tung4
顾	gu3
糴	dek3/dek6
痒	yeung5
賾	jak3
掌	jeung2
鴄	pat1
吧	ba1/ba6
矞	wat6
徂	chou4
郦	lik6
星	sing1
轴	juk6
瞌	hap6
祸	wo6
蕭	siu1
鲛	gaau1
厣	yim3
秣	mut3
薷	yu4
镐	gou2/hou6
醨	lei4
晴	ching4
灕	lei4
蘧	keui4
磴	dang3
脾	pei4
崤	ngaau4
惸	king4
双	seung1
郯	taam4
泣	yap1
抉	kyut3
屁	pei3
蜘	ji1
貞	jing1
鄤	maan6
